model_id,comment,head-ear_0,forward,up,side,rot_by_side_axis,scale,back_1,forward,up,side,rot_by_side_axis,scale,pelvis_2,forward,up,side,rot_by_side_axis,scale,face_3,forward,up,side,rot_by_side_axis,scale,head-Å»_4,forward,up,side,rot_by_side_axis,scale,head-¸¶½ºÅ©_5,forward,up,side,rot_by_side_axis,scale,head-¼ÒÇüÅ»_6,forward,up,side,rot_by_side_axis,scale,arm_7,forward,up,side,rot_by_side_axis,scale,face_8(¼ö¿°),forward,up,side,rot_by_side_axis,scale,pelvis_9,forward,up,side,rot_by_side_axis,scale,face_jaw(ÅÎ)_10,forward,up,side,rot_by_side_axis,scale,face_glass(¾È°æ)_11,forward,up,side,rot_by_side_axis,scale,head_non_12,forward,up,side,rot_by_side_axis,scale,head-Snorkelingmask_13,forward,up,side,rot_by_side_axis,scale,head-buffclassface_14,forward,up,side,rot_by_side_axis,scale,head-buffclasscriss_15,forward,up,side,rot_by_side_axis,scale
11,spetsnaz,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.2,-1.7,0,0,1,Bip01 Head,0.7,-1.05,0,0.1,1,Bip01 Head,0,-1.7,-0.1,0,1,Bip01 Head,-1.985,-0.25,0,-0.287,1,Bip01 L UpperArm,0.3,0,0.2,0.01,1,Bip01 Head,-0.2,-1.5,0,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.2,-1.5,0,0,1,Bip01 Head,0.35,-1.35,0,0,1,Bip01 Head,-0.2,-1.5,0,0,1,Bip01 Head,2,0,0,0,1,Bip01 Head,0.1,0.3,0,0,1,Bip01 Head,-1.8,-1,0,0,1.1
12,707,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1,-0.4,0,-0.15,1,Bip01 Head,-0.9,-0.825,0,-0.05,1,Bip01 Head,-1.2,-0.9,0,-0.12,1,Bip01 Head,-2.05,0,0,-0.26,1,Bip01 L UpperArm,0,0,0.4,0.01,1.02,Bip01 Head,-1,-0.4,0,-0.15,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1,-0.4,0,-0.15,1,Bip01 Head,-1,0.2,0,-0.15,1,Bip01 Head,-1,-0.4,0,-0.15,1,Bip01 Head,0,0,0,0,1,Bip01 Head,0,0,0,0,1,Bip01 Head,-2,-1,0,0,1.1
13,sozo,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.73,-0.8,0,-0.05,1,Bip01 Head,-0.9,-0.825,0,-0.05,1,Bip01 Head,0,-0.3,0,0,1,Bip01 Head,-2.05,0,0,-0.26,1,Bip01 L UpperArm,0.15,0,0.8,0.01,1.05,Bip01 Head,-0.73,-0.8,0,-0.05,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.73,-0.8,0,-0.05,1,Bip01 Head,-0.3,-0.8,0,-0.05,1,Bip01 Head,-0.73,-0.8,0,-0.05,1,Bip01 Head,0,0,0,0,1,Bip01 Head,-0.7,0.5,0,0,1,Bip01 Head,-2,-1,0,0,1.1
14,magui,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.9,-0.5,0,-0.05,1,Bip01 Head,-0.9,-0.825,0,-0.05,1,Bip01 Head,-0.6,-0.2,0,-0.05,1,Bip01 Head,-2.05,0,0,-0.26,1,Bip01 L UpperArm,0,0,0.4,0.01,1.02,Bip01 Head,-0.9,-0.5,0,-0.05,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.9,-0.5,0,-0.05,1,Bip01 Head,-0.63,-0.5,0,-0.05,1,Bip01 Head,-0.9,-0.5,0,-0.05,1,Bip01 Head,1,0,0,0,1,Bip01 Head,1,0,0,0,1,Bip01 Head,-1.5,-1,0,0,1.2
15,sdefence,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,-0.8,0,-0.05,1,Bip01 Head,-0.9,-0.825,0,-0.05,1,Bip01 Head,-1,0,0,-0.1,1,Bip01 Head,-2.25,0,0,-0.287,1,Bip01 L UpperArm,0.1,0,0.4,0.01,1.02,Bip01 Head,-1.2,-0.8,0,-0.05,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.8,0,-0.05,1,Bip01 Head,-0.25,-0.6,0,-0.05,1,Bip01 Head,-0.6,-0.4,0,-0.05,1,Bip01 Head,0,0,0,0,1,Bip01 Head,0,0,0,0,1,Bip01 Head,-2,-1,0,0,1.1
16,rb,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.2,-0.8,0,-0.04,1,Bip01 Head,-0.7,0.3,0,-0.3,1,Bip01 Head,-0.3,-0.2,0,-0.1,1,Bip01 Head,-0.55,-0.15,0,-0.1,1,Bip01 L UpperArm,0.1,0,0.4,0.01,1,Bip01 Head,-0.35,-0.4,0.4,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.35,-0.4,0.4,0,1,Bip01 Head,-0.2,0,0.2,-0.04,1,Bip01 Head,-0.25,0,0.4,0,1,Bip01 Head,2,0,0,0,1,Bip01 Head,2,0,0,0,1,Bip01 Head,-1,-1,0,0,1
17,ira,Bip01 Head,1,0.5,0,0,1.2,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.2,0.5,0,-0.04,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 Head,-0.5,1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.15,-0.2,0.4,0.01,1,Bip01 Head,-0.2,0.5,0,-0.04,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.2,0.5,0,-0.04,1,Bip01 Head,-0.2,0.5,-0.2,-0.04,1,Bip01 Head,-0.2,0.5,0,-0.04,1,Bip01 Head,1,0.5,0,0,1.2,Bip01 Head,1,0.5,0,0,1.2,Bip01 Head,-1.5,-1,0,0,1.2
18,eta,Bip01 Head,1,0.5,0,0,1.2,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,0.3,0.2,0,0.025,1,Bip01 Head,-0.235,-0.05,0,-0.1,1,Bip01 Head,0,0.5,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.12,-0.4,0.2,0.01,1.05,Bip01 Head,0.3,0.2,0,0.025,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,0.3,0.2,0,0.025,1,Bip01 Head,0.3,0.2,0,0.025,1,Bip01 Head,0.3,0.2,0,0.025,1,Bip01 Head,1,0.5,0,0,1.2,Bip01 Head,1,0.5,0,0,1.2,Bip01 Head,-1.5,-1,0,0,1.2
19,jra,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,0.1,-0.8,0,0.005,1,Bip01 Head,-0.235,-0.3,0,-0.1,1,Bip01 Head,-0.4,-0.8,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.35,-0.3,0.1,0.04,1,Bip01 Head,0.1,-0.5,0,0.005,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,0.1,-0.5,0,0.005,1,Bip01 Head,0.1,0.2,0,0.005,1,Bip01 Head,0.1,-0.5,0,0.005,1,Bip01 Head,1,0,0,0,1,Bip01 Head,1,0,0,0,1,Bip01 Head,-1.5,-1,0,0,1.2
20,criss,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,-1,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.2,-0.8,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.4,-0.4,0.2,0.01,0.7,Bip01 Head,-1.2,-1,0,-0.2,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-1,0,-0.2,1,Bip01 Head,-1.2,-1.1,0,-0.2,1,Bip01 Head,-1.2,-1,0,-0.2,1,Bip01 Head,2,-2,0,0,1,Bip01 Head,1,-1.6,0,0,1,Bip01 Head,-1,-3,0,-0.05,1
21,natasha,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.2,-1,0,-0.1,1,Bip01 Head,-1.1,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,-0.1,-0.4,-0.2,0.01,0.7,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-1.4,-0.9,0,-0.3,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,2.5,-2,0,0,1,Bip01 Head,2.5,-2,0,0,1,Bip01 Head,-0.5,-3,0,-0.05,1
22,choijiyoon,Bip01 Head,1,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.2,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.4,-0.2,0.01,0.68,Bip01 Head,-1.6,-0.7,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.6,-0.7,0,-0.3,1,Bip01 Head,-1.7,-1,0,-0.3,1,Bip01 Head,-1.6,-0.7,0,-0.3,1,Bip01 Head,1.5,-2,0,0,1,Bip01 Head,1.2,-2,0,0,1,Bip01 Head,-0.5,-3,0,-0.05,1
23,jennifer,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.3,-1.3,0,-0.3,1,Bip01 Head,-0.11,-0.9,0,-0.1,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.4,-0.4,0.01,0.8,Bip01 Head,-0.5,-1.6,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.5,-1.6,0,-0.1,1,Bip01 Head,-1.3,-1,0,-0.3,1,Bip01 Head,-0.5,-1.6,0,-0.1,1,Bip01 Head,2,-2,0,0,1,Bip01 Head,1.1,-2,0,0,1,Bip01 Head,-1,-3,0,-0.05,1
24,ritsuka,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.225,-0.9,0,-0.1,1,Bip01 Head,-1.4,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.3,-0.4,0,0.01,0.65,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Head,-1.4,-1,0,-0.3,1,Bip01 Head,-1.2,-0.6,0,-0.3,1,Bip01 Head,2,-2,0,0,1,Bip01 Head,1.4,-2,0,0,1,Bip01 Head,-1,-3,0,-0.04,1
25,yuri,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-2.2,-0.5,0,-0.43,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.5,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.4,0,0.01,0.65,Bip01 Head,-2,-0.05,0,-0.43,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-2,-0.05,0,-0.43,1,Bip01 Head,-2.2,-0.5,0,-0.43,1,Bip01 Head,-2,-0.05,0,-0.43,1,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Head,1,-1.6,0,-0.05,1,Bip01 Head,-0.5,-4,0,-0.1,1
26,gerrard,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,0,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.075,1,Bip01 Head,-1.8,-0.1,0,-0.1,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.15,-0.5,0.2,0.01,1.02,Bip01 Head,-1.5,0,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.5,0,0,-0.1,1,Bip01 Head,-1.5,0,0,-0.1,1,Bip01 Head,-1.5,0,0,-0.1,1,Bip01 Head,0,0,0,0,1,Bip01 Head,-1,0.5,0,0,1,Bip01 Head,-2,-1,0,0,1.2
27,davidblack,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.7,0,0,-0.1,1,Bip01 Head,-0.335,-0.05,0,-0.075,1,Bip01 Head,-1.5,-0.4,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0,-0.2,0,0.01,1,Bip01 Head,-1.7,0.35,0,-0.1,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.7,0.35,0,-0.1,1,Bip01 Head,-1.7,0,0,-0.1,1,Bip01 Head,-1.7,0.35,0,-0.1,1,Bip01 Head,0,0,0,0,1,Bip01 Head,-1,1,0,0,1,Bip01 Head,-2,-1.3,0,0,1
28,sccjy,Bip01 Head,1,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.2,-1.2,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.3,-0.9,0,-0.2,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.15,-0.1,0.25,0.01,0.65,Bip01 Head,-1.7,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.7,-0.8,0,-0.3,1,Bip01 Head,-1.7,-1.2,0,-0.3,1,Bip01 Head,-1.7,-0.8,0,-0.3,1,Bip01 Head,1,-2,0,0,1,Bip01 Head,1,-2,0,0,1,Bip01 Head,-2,-3,0,0,1
29,scjra,Bip01 Head,0,0,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.2,-0.8,0,0.005,1,Bip01 Head,-0.235,-0.3,0,-0.1,1,Bip01 Head,-1,-1.1,0,0,1,Bip01 Head,-0.235,-0.15,0,-0.1,1,Bip01 L UpperArm,0.7,0,0.3,0.01,1.05,Bip01 Head,-0.2,-0.8,0,0.005,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.2,-0.8,0,0.005,1,Bip01 Head,-0.4,0,0,0.005,1,Bip01 Head,-0.2,-0.8,0,0.005,1,Bip01 Head,1,0,0,0,1,Bip01 Head,1,0,0,0,1,Bip01 Head,-1,-1.7,0,0,1
30,scvip,Bip01 Head,1,0.5,0,0,1,Bip01 Spine2,0,0,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.2,0.2,0,0,1,Bip01 Head,-0.235,-0.25,0,-0.1,1,Bip01 Head,-0.5,0.5,0,-0.1,1,Bip01 Head,-0.235,-0.25,0,-0.1,1,Bip01 L UpperArm,0.1,0,0.2,0.01,1.05,Bip01 Head,-0.2,0.5,0,0,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.2,0.5,0,0,1,Bip01 Head,-0.2,0.2,0,0,1,Bip01 Head,-0.2,0.5,0,0,1,Bip01 Head,1,2,0,0,1,Bip01 Head,1,2,0,0,1,Bip01 Head,-1.8,-1.3,0,0,1
31,scyuri,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.73,-0.8,0,-0.4,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.5,-0.5,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.3,-0.4,0.4,0.01,0.64,Bip01 Head,-1.5,0.1,0,-0.4,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.5,0.1,0,-0.4,1,Bip01 Head,-1.73,0.2,0,-0.4,1,Bip01 Head,-1.5,0.1,0,-0.4,1,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Head,2,-2.5,0,-0.05,1,Bip01 Head,-1,-3,0,-0.05,1
32,jpngirl01,Bip01 Head,2,-1.5,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-1.5,-1,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 Head,-1.3,-0.8,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,1,0,0.01,0.7,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,-1.5,-1,0,-0.3,1,Bip01 Head,-1.5,-0.8,0,-0.3,1,Bip01 Head,2,-1.5,0,0,1,Bip01 Head,2,-1.5,0,0,1,Bip01 Head,-0.5,-3,0,-0.05,1
33,chngirl01,Bip01 Head,2,-2,0,0,1,Bip01 Spine2,2,-4,0,0,1,Bip01 Pelvis,0,0,0,0,1,Bip01 Head,-0.73,-0.75,0,-0.25,1,Bip01 Head,0.315,-0.9,0,-0.1,1,Bip01 Head,-0.8,-0.5,0,-0.3,1,Bip01 Head,-0.235,-0.9,0,-0.1,1,Bip01 L UpperArm,0.2,-0.1,0.25,0.01,0.65,Bip01 Head,-0.73,-0.7,0,-0.25,1,Bip01 Pelvis,1.6,0,-2,0,1,Bip01 Head,-0.73,-0.7,0,-0.25,1,Bip01 Head,-0.73,-0.75,0,-0.25,1,Bip01 Head,-0.73,-0.7,0,-0.25,1,Bip01 Head,2,-2,0,0,1,Bip01 Head,2,-2,0,0,1,Bip01 Head,-1,-3,0,-0.05,1
